"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"TOTAL","13.1","32.1","23.7","14.7","7.7","4.8","","","8214","1.0"
"正規職員","12.3","30.1","23.9","15.0","8.5","5.9","3.3","","4702","0.9"
"有期契約職員フルタイム","12.6","31.4","22.5","16.1","8.0","5.3","","","886","1.0"
"有期契約職員パートタイム","15.1","36.4","23.9","13.4","6.2","","","","2536","1.3"
