"","正規職員(%)","有期契約職員フルタイム(%)","有期契約職員パートタイム(%)","無回答(%)","サンプル数"
"TOTAL","57.2","10.8","30.9","","8214"
"認可保育所","62.5","10.4","26.4","","5267"
"認証保育所（Ａ型）","62.8","6.2","30.4","","753"
"認証保育所（Ｂ型）","57.1","8.8","34.0","","147"
"認定こども園","61.3","11.3","26.5","","230"
"事業所内保育所","24.3","9.5","65.7","","169"
"院内保育所","35.1","12.2","52.7","","148"
"子育て広場","14.6","12.6","71.8","","103"
"学童クラブ","36.9","25.0","37.3","","260"
"家庭的保育者（保育ママ）","35.6","8.9","41.6","13.9","101"
"児童福祉施設（保育所を除く）","68.6","14.4","16.5","","236"
"ベビーホテル","34.5","10.3","51.7","3.4","29"
