"","一週間の就労日数（総数507）(%)"
"7日","2.0"
"6日","19.7"
"5日","58.6"
"4日","10.7"
"3日","3.7"
"2日","2.0"
"1日","0.4"
"1日未満","0.2"
"無回答","2.8"
