"","動物性たんぱく質(％)","植物性たんぱく質(％)","野菜(％)","果物(％)"
"15-18歳男性","7.7","25.9","15.2","62.5"
"15-18歳女性","4.8","24.8","14.5","62.0"
"19-23歳男性","9.4","30.6","22.6","71.4"
"19-23歳女性","8.5","29.7","17.4","68.3"
"全体","8.0","28.5","18.3","67.3"
