"","電話(％)","電気(％)","ガス(％)","水道(％)","家賃(％)","住宅ローン(％)","その他債務(％)"
"困窮層","29.0","31.6","28.1","29.5","20.6","7.8","29.7"
"周辺層","4.3","4.2","3.9","4.4","2.7","2.5","8.9"
"一般層","0.0","0.0","0.0","0.0","0.0","0.5","1.4"
