"","小学5年生(％)","中学2年生(％)"
"自分だけの本（学校の教科書やマンガはのぞく）","6.5","4.1"
"子ども部屋（きょうだいと使っている場合も含む）","22.6","14.9"
"（自宅で）インターネットにつながるパソコン","18.7","16.0"
"自宅で宿題をすることができる場所","3.2","3.2"
"自分専用の勉強机","16.3","7.1"
"スポーツ用品（野球のグローブ、サッカーボール等）","4.6","3.0"
"ゲーム機","6.8","4.2"
"たいていの友だちが持っているおもちゃ","14.8","9.9"
"自転車","2.3","4.4"
"おやつや、ちょっとしたおもちゃを買うおこづかい","13.2","9.0"
"友だちが着ているのと同じような服","7.4","6.5"
"２足以上のサイズのあった靴","4.7","4.8"
"携帯電話、スマートフォン","35.7","20.4"
"携帯音楽プレーヤーなど","60.3","29.0"
