"","H20.5-H21.4／n=44262(%)","H21.5-H22.4／n=27248(%)","H22.5-H23.4／n=37547(%)","H23.5-H24.4／n=33226(%)"
"週2回以下","39.2","40.2","43.1","44.6"
"週3回以上","60.8","59.8","56.9","55.4"
