"(単位 人)","実施自治体数","実施人数（人）","就業修了者（人）"
"H21","23区、23市、13町村","353","113"
"H22","23区、25市、13町村","530","156"
"H23","23区、26市、13町村","696","203"
"H24","23区、26市、13町村","645","249"
"H25","23区、26市、13町村","481","217"
