"","総数(人)","０歳児(人)","１歳児(人)","２歳児(人)","3歳児(人)","４歳以上(人)"
"4月/定員","14161","3326","4083","3841","1531","1380"
"4月/利用児童","13428","2230","4241","3777","1517","1663"
"4月/定員－利用","733","1096","-158","64","14","-283"
"10月/定員","14837","3450","4331","4028","1615","1413"
"10月/利用児童","16000","3975","4890","4011","1516","1608"
"10月/定員－利用","-1163","-525","-559","17","99","-195"
