"","１本(％)","２本(％)","３本(％)","４本以上(％)","無回答(％)"
"困窮層","10.1","6.3","1.1","5.0","3.0"
"周辺層","3.7","2.6","1.5","0.7","3.2"
"一般層","4.5","2.9","1.6","1.0","3.2"
