"","定員(人)","在籍者数／世帯(世帯)","在籍者数／人員(人)","入所者数／世帯(世帯)","入所者数／人員(人)"
"H16","764","703","1744","320","819"
"H17","774","670","1641","318","775"
"H18","771","653","1618","297","717"
"H19","771","616","1528","298","756"
"H20","762","611","1519","288","716"
