"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","3.4","34.1","45.5","16.1","0.9"
"19","3.5","33.2","47.7","14.9","0.7"
"14","2.4","23.0","51.0","21.4","2.2"
"9","1.8","25.7","49.9","22.1","0.5"
