"","全体／件数(件)","全体／金額(千円)","修学資金／件数(件)","修学資金／金額(千円)","修学資金／割合(％)","就学支度／件数(件)","就学支度／金額(千円)","就学支度／割合(％)"
"H16","8262","3799972","5549","2871379","75.6","1628","513908","13.5"
"H17","8247","3867283","5712","2929990","75.8","1636","572707","14.8"
"H18","7823","3793548","5656","2964604","78.1","1568","574111","15.1"
"H19","7617","3784444","5666","3023976","79.9","1432","547685","14.5"
"H20","7857","3884830","5761","3049446","78.5","1608","615449","15.8"
