"回答/居住地","同居(％)","ほとんど毎日～週2回程度(％)","月2～3回程度(％)","月1回程度(％)","生まれてから数回(％)","行き来なし・いない・不詳(％)"
"総数","22.8","32.3","21.6","10.1","11.1","2.1"
"13大都市","12.1","28.4","25.2","14.5","17.1","2.7"
"その他の市","21.4","33.6","22.3","10.0","10.7","2.0"
"郡部","39.3","32.4","15.5","5.5","5.5","1.8"
