"","３０分未満(%)","３０分～１時間未満(%)","１時間以上(%)","サンプル数","平均"
"TOTAL","14.0","73.3","12.8","1918","33.6"
"正規職員雇用のみ希望者","6.8","67.6","25.6","395","38.7"
"パート・非常勤雇用のみ希望者","18.9","73.2","8.0","1002","31.1"
"正規職員またはパート・非常勤雇用希望者","9.4","70.5","20.1","149","37.3"
