"調査年","青梅市","東大和市","中野区","豊島区","品川区","足立区","総計"
"＜男子＞／9年度","582","444","226","507","436","564","2759"
"＜男子＞／10年度","572","463","226","486","376","549","2672"
"＜男子＞／11年度","525","483","219","446","344","546","2563"
"＜女子＞／9年度","586","447","272","533","419","530","2787"
"＜女子＞／10年度","537","430","246","494","418","513","2638"
"＜女子＞／11年度","506","431","227","448","351","504","2467"
"＜計＞／9年度","1168","891","498","1040","855","1094","5546"
"＜計＞／10年度","1109","893","472","980","794","1062","5310"
"＜計＞／11年度","1031","914","446","894","695","1050","5030"
