"","100％(3583人)(％)","100％(3614人)(％)"
"父／勤務先で制度が整っていない(いなかったから)","22.9",""
"父／職場全体として、取りづらい雰囲気だから","8.8",""
"父／自分が休むと家計が苦しくなるから","7.8",""
"父／育児休業を利用できることを知らなかったから","2.4",""
"父／その当時、就労していなかったから","0.3",""
"父／取る必要がなかったから","51.3",""
"父／その他","5.0",""
"父／無回答","1.6",""
"母／勤務先で制度が整っていない(いなかったから)","","15.9"
"母／職場全体として、取りづらい雰囲気だから","","3.2"
"母／自分が休むと家計が苦しくなるから","","1.9"
"母／育児休業を利用できることを知らなかったから","","1.3"
"母／その当時、就労していなかったから","","52.7"
"母／取る必要がなかったから","","16.7"
"母／その他","","6.3"
"母／無回答","","2.0"
