"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者調定額(円)","収納率(%)"
"現年分","10310495215","9828020772","3299294","1226002","481248441","133674","95.32"
"滞納繰越分","2306614689","668744771","87993","328700945","1309168973","619250","29.00"
"計","12617109904","10496765543","3387287","329926947","1790417414","752924","83.20"
