"","飼い主／全体(%)","飼い主／屋内飼育(%)","飼い主／屋外飼育(%)","飼い主以外(%)"
"屋内飼育に肯定的な意見","80.6","93.0","61.7","53.2"
"〃に否定的な意見","43.8","30.4","54.7","28.1"
"屋外飼育に肯定的な意見","59.4","44.3","68.8","23.9"
"〃に否定的な意見","66.3","80.9","48.4","76.6"
