"年度","15ー24歳(%)","25ー34歳(%)","35ー44歳(%)","45ー54歳(%)","55ー64歳(%)","65歳ー(%)"
"19","44.7","93.5","96.7","96.5","87.4","36.7"
"21","38.3","94.3","96.7","96.4","86.5","34.4"
"25","39.6","92.2","96.6","96.2","84.4","35.9"
