"","H21(%)","H22(%)","H23(%)","H24(%)","H25(%)","H26(%)","H27(%)","H28(%)","計画(％)"
"都","91.0","91.1","90.2","89.8","91.5","88.5","87.5","(集計中)","91.0"
"全国","87.5","87.8","87.6","87.3","88.4","88.1","","(集計中)",""
