"区分","利用児童数(人)(注1)／認可保育所","利用児童数(人)(注1)／認証保育所","利用児童数(人)(注1)／認定こども園(注2)","利用児童数(人)(注1)／家庭的保育事業","利用児童数(人)(注1)／小規模保育事業","利用児童数(人)(注1)／事業所内保育事業","利用児童数(人)(注1)／居宅訪問型保育事業","利用児童数(人)(注1)／定期利用保育事業","利用児童数(人)(注1)／区市町村単独施策","利用児童数(人)(注1)／合計(a)","就学前児童人口(人)(b)(注3)","利用率(%)(a/b)"
"平成22年4月","172797","15744","1375","1455","","","","12","2149","193532","601368","32.2"
"平成23年4月","178955","17399","1880","1646","","","","206","2336","202422","609128","33.2"
"平成23年4月／前年からの増","6158","1655","505","191","","","","194","187","8890","7760","1.0"
"平成24年4月","185263","20065","2365","1866","","","","588","2494","212641","615228","34.6"
"平成24年4月／前年からの増","6308","2666","485","220","","","","382","158","10219","6100","1.4"
"平成25年4月","193150","21796","2915","2027","","","","817","2629","223334","619557","36.0"
"平成25年4月／前年からの増","7887","1731","550","161","","","","229","135","10693","4329","1.4"
"平成26年4月","202008","22608","3304","2394","676","","","932","2989","234911","625347","37.6"
"平成26年4月／前年からの増","8858","812","389","367","676","","","115","360","11577","5790","1.6"
"平成27年4月","213259","21616","3289","1847","2943","96","6","711","3746","247513","630419","39.3"
"平成27年4月／前年からの増","11251","-992","-15","-547","2267","96","6","-221","757","12602","5072","1.7"
