"栄養素等別","総数／平均値","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数(人)","228","","","7","","","17","","","12","","","12","","","14","","","46","","","30","","","41","","","49","","","192","",""
"エネルギー(kcal)","1703","475","31","1333","305","115","1680","308","75","1890","376","109","1598","648","187","1889","480","128","1729","420","62","1841","606","111","1743","384","60","1550","494","71","1707","492","36"
"たんぱく質(g)","65.1","22.5","1.5","46.1","6.0","2.3","62.0","13.8","3.3","67.9","17.3","5.0","67.8","35.0","10.1","73.3","28.5","7.6","61.9","18.9","2.8","69.4","23.1","4.2","69.1","18.8","2.9","62.0","26.0","3.7","65.9","23.5","1.7"
"うち動物性(g)","36.1","16.4","1.1","26.3","6.5","2.5","35.0","8.9","2.2","40.3","16.9","4.9","39.6","20.7","6.0","43.0","16.9","4.5","33.0","15.3","2.3","37.8","15.9","2.9","39.5","15.1","2.4","32.8","19.4","2.8","36.2","17.1","1.2"
"アミノ酸組成によるたんぱく質(g)","17.5","8.7","0.6","11.0","5.3","2.0","15.8","7.0","1.7","19.1","7.8","2.3","17.2","10.7","3.1","22.6","10.3","2.8","16.3","8.1","1.2","19.7","11.5","2.1","17.4","8.2","1.3","17.0","7.3","1.0","17.8","8.9","0.6"
"脂質","55.3","22.5","1.5","45.8","11.4","4.3","55.5","15.8","3.8","61.7","23.2","6.7","56.1","36.9","10.6","68.4","19.9","5.3","56.8","20.6","3.0","57.7","26.4","4.8","57.3","21.3","3.3","46.4","19.9","2.8","55.2","23.3","1.7"
"動物性脂質(g)","28.2","15.2","1.0","26.2","8.6","3.2","29.7","11.3","2.8","36.3","22.2","6.4","32.6","26.6","7.7","32.0","8.7","2.3","28.3","14.2","2.1","28.2","16.3","3.0","31.2","14.2","2.2","21.3","12.2","1.7","27.6","15.1","1.1"
"植物性脂質(g)","27.1","14.0","0.9","19.6","13.4","5.0","25.9","10.3","2.5","25.4","12.9","3.7","23.5","13.2","3.8","36.4","16.2","4.3","28.5","12.4","1.8","29.5","17.5","3.2","26.1","13.3","2.1","25.1","14.2","20","27.6","14.4","1.0"
"炭水化物(g)","225.9","65.6","4.3","181.8","56.8","21.5","227.9","45.4","11.0","257.0","76.4","22.0","200.7","56.8","16.4","225.5","75.1","20.1","228.8","55.7","8.2","242.9","80.5","14.7","225.6","56.5","8.8","217.2","72.4","103.0","225.4","66.2","4.8"
"カリウム(mg)","2233","903","60","1585","403","152","2055","541","131","2040","682","197","2122","971","280","2295","840","224","2008","697","103","2434","979","179","2522","1063","166","2288","1007","144","2284","943","68"
"カルシウム(mg)","516","282","19","481","199","75","550","199","48","492","259","75","523","479","138","530","272","73","425","201","30","546","339","62","624","312","49","486","245","35","516","293","21"
"マグネシウム(mg)","231","97","6","154","41","16","194","47","11","205","49","14","239","165","48","242","102","27","211","77","11","254","102","19","257","104","16","238","101","14","239","102","7"
"リン(mg)","956","355","23","771","134","51","939","202","49","971","277","80","970","532","154","1007","337","90","873","262","39","1044","447","82","1064","346","54","902","388","55","964","374","27"
"鉄(mg)","7.0","3.1","0.2","4.4","1.6","0.6","5.9","1.5","0.4","6.4","1.4","0.4","7.5","4.8","1.4","8.3","3.7","1.0","6.4","2.6","0.4","7.2","3.4","0.6","7.5","2.8","0.4","7.4","3.4","0.5","7.2","3.2","0.2"
"亜鉛(mg)","7.4","2.7","0.2","5.7","1.4","0.5","7.3","1.4","0.3","8.9","1.7","0.5","7.9","3.8","1.1","8.5","2.8","0.8","7.4","2.1","0.3","7.6","3.4","0.6","7.4","2.1","0.3","6.8","3.3","0.5","7.4","2.8","0.2"
"銅(mg)","1.03","0.40","0.03","0.69","0.20","0.08","0.90","0.23","0.06","1.06","0.16","0.05","1.16","0.71","0.21","1.03","0.37","0.10","0.98","0.30","0.04","1.08","0.48","0.09","1.07","0.36","0.06","1.06","0.48","0.07","1.05","0.43","0.03"
"マンガン(μg)","3.00","1.44","0.10","1.47","0.61","0.23","2.41","1.01","0.24","2.85","1.16","0.33","3.03","2.47","0.71","2.90","1.17","0.31","2.84","1.08","0.16","3.16","1.59","0.29","3.09","1.57","0.25","3.45","1.41","0.20","3.12","1.47","0.11"
"ヨウ素(μg)","1258","5642","374","43","34","13","498","1437","349","1307","2618","756","282","384","111","3138","11466","3065","818","3319","489","1307","5648","1031","1606","7363","1150","1476","5984","855","1366","6094","440"
"セレン(μg)","39","27","2","26","11","4","31","20","5","45","37","11","31","17","5","41","31","8","37","25","4","38","24","4","49","30","5","40","29","4","40","27","2"
"クロム(μg)","5","3","0","4","2","1","6","3","1","6","2","1","4","3","1","7","4","1","5","4","1","5","3","1","6","3","0","5","3","0","5","3","0"
"モリブデン(μg)","137","79","5","104","82","31","130","75","18","134","57","17","152","108","31","134","91","24","139","69","10","139","74","14","125","65","10","146","99","14","138","81","6"
"ビタミンA(レチノール当量)(μgRE)","502","451","30","554","464","176","442","151","37","403","152","44","532","613","177","424","276","74","519","770","114","448","247","45","618","359","56","477","307","44","512","480","35"
