"島しょ部／全9町村","島しょ部／子供家庭支援センター","島しょ部／子育てひろば（地域子育て支援拠点）","島しょ部／ショートステイ","島しょ部／トワイライトステイ","島しょ部／一時預かり事業","島しょ部／病児・病後児保育","島しょ部／ファミリー・サポート・センター"
"実施町村数","7","3","0","0","4","0","1"
"大島町","○","○","","","○","",""
"利島村","","","","","","",""
"新島村","○","○","","","","",""
"神津島村","○","","","","○","",""
"三宅村","○","○","","","○","","○"
"御蔵島村","○","","","","","",""
"八丈町","○","","","","○","",""
"青ヶ島村","","","","","","",""
"小笠原村","○","","","","","",""
