"","平成16年(件)","平成17年(件)","平成18年(件)","平成19年(件)","平成20年(件)","平成21年(件)","平成22年(件)","平成23年(件)","平成24年(件)","平成25年(件)"
"合計","2021","2606","3211","3385","3682","3870","4484","4525","5529","5137"
"任意後見","49","62","68","86","114","106","134","134","128","121"
"補助","110","114","114","143","140","177","182","188","191","184"
"補佐","177","197","225","301","298","381","531","535","663","694"
"後見","1685","2233","2804","2855","3130","3206","3637","3668","4310","4138"
