"","いつも参加している(％)","時々参加している(％)","たまに参加している(％)","参加したことはない(％)","無回答(％)"
"全体","8.2","8.8","12.8","67.2","3.1"
"困窮層","15.4","7.7","15.5","54.9","6.6"
"周辺層","10.3","14.4","13.9","59.9","1.6"
"一般層","6.8","7.0","12.6","70.7","2.9"
