"","良かった(%)","ふつう(%)","あまり良くなかった(%)","良くなかった(%)","無回答(%)"
"全体(120)","57.5","25.0","10.8","5.8","0.8"
"男性(52)","51.9","28.8","11.5","7.7",""
"女性(68)","61.8","22.1","10.3","4.4","1.5"
"0～6歳(57)","64.9","22.8","7.0","5.3",""
"7～9歳(17)","70.6","23.5","5.9","",""
"10～12歳(24)","50.0","25.0","20.8","","4.2"
"13～18歳(17)","29.4","41.2","5.9","23.5",""
