"","女性／1-400／n=580(%)","女性／401-800／n=81(%)","女性／801-／n=22(%)","男性／1-400／n=553(%)","男性／401-800／n=206(%)","男性／801-／n=94(%)"
"3未満","55.0","37.0","31.8","56.8","35.9","37.2"
"3以上","45.0","63.0","68.2","43.2","64.1","62.8"
