"","15分以内(%)","15～30分(%)","30～60分(%)","1時間以上(%)","無回答(%)"
"全体","29.5","29.9","21.4","13.2","6.0"
"男","35.7","24.2","20.8","16.9","2.4"
"女","26.8","31.8","22.7","11.8","7.0"
