"","総数","19歳以下","20～29歳","30～39歳","40～49歳","50～59歳","60歳以上","特定の年代はない","わからない","無回答"
"1位／n","274","2","40","77","37","8","2","26","69","13"
"1位／%","100","0.7","14.6","28.1","13.5","2.9","0.7","9.5","25.2","4.7"
"2位／n","274","3","23","55","60","18","3","5","30","77"
"2位／%","100","1.1","8.4","20.1","21.9","6.6","1.1","1.8","10.9","28.1"
"3位／n","274","3","48","22","42","35","3","6","33","82"
"3位／%","100","1.1","17.5","8.0","15.3","12.8","1.1","2.2","12.0","29.9"
