"","男子／A群","男子／A群","男子／B群","男子／B群","男子／C群","男子／C群","男子／D群","男子／D群","男子／群","男子／年度","男子／群×年度","女子／A群","女子／A群","女子／B群","女子／B群","女子／C群","女子／C群","女子／D群","女子／D群","女子／群","女子／年度","女子／群×年度"
"<0.75秒量>／8年","2.01","0.25","2.01","0.25","2.02","0.24","2.01","0.25","","","","1.96","0.26","1.97","0.23","1.96","0.24","1.95","0.26","","",""
"<0.75秒量>／9年","1.99","0.22","2.00","0.24","2.00","0.24","2.01","0.24","","","","1.95","0.24","1.96","0.24","1.97","0.24","1.97","0.24","","",""
"<0.75秒量>／10年","2.01","0.24","2.02","0.22","1.99","0.23","2.01","0.23","","","","1.98","0.25","1.98","0.24","1.97","0.24","1.98","0.24","","",""
"<0.75秒量>／11年","1.98","0.22","2.01","0.23","2.00","0.23","2.00","0.25","","","","1.93","0.26","1.94","0.23","1.96","0.26","1.92","0.24","","",""
"<0.75秒量>／p値","","","","","","","","","0.590","0.358","0.764","","","","","","","","","0.779","0.001","0.755"
"<0.75秒率>／8年","80.2","6.50","79.7","6.34","80.7","5.97","79.8","6.35","","","","82.6","6.59","82.7","6.16","83.1","5.95","82.4","7.01","","",""
"<0.75秒率>／9年","80.0","6.15","80.4","6.31","80.8","6.24","80.3","6.01","","","","83.2","6.02","83.3","5.81","83.4","6.21","83.0","6.28","","",""
"<0.75秒率>／10年","80.0","6.25","80.9","6.03","80.5","6.01","80.1","5.83","","","","83.7","5.95","83.7","5.78","83.5","6.33","82.9","6.09","","",""
"<0.75秒率>／11年","80.7","6.40","80.4","6.15","80.9","5.90","80.2","6.44","","","","83.4","5.96","83.0","6.23","83.3","6.08","83.0","6.30","","",""
"<0.75秒率>／p値","","","","","","","","","0.014","0.261","0.624","","","","","","","","","0.067","0.011","0.956"
"＜V25＞／7年","1.45","0.43","1.44","0.45","1.41","0.39","1.39","0.40","","","","1.56","0.47","1.59","0.45","1.54","0.50","1.56","0.46","","",""
"＜V25＞／8年","1.43","0.44","1.40","0.42","1.44","0.43","1.40","0.40","","","","1.53","0.48","1.54","0.44","1.53","0.45","1.52","0.49","","",""
"＜V25＞／9年","1.39","0.41","1.40","0.46","1.42","0.43","1.39","0.41","","","","1.54","0.44","1.55","0.44","1.55","0.45","1.55","0.47","","",""
"＜V25＞／10年","1.40","0.43","1.43","0.42","1.41","0.42","1.38","0.41","","","","1.60","0.45","1.58","0.47","1.55","0.46","1.54","0.46","","",""
"＜V25＞／11年","1.42","0.41","1.43","0.46","1.42","0.40","1.40","0.42","","","","1.53","0.47","1.53","0.43","1.51","0.47","1.49","0.46","","",""
"＜V25＞／p値","","","","","","","","","0.051","0.440","0.813","","","","","","","","","0.265","0.020","0.954"
