"","青梅市","青梅市(%)","東大和市","東大和市(%)","八王子市","八王子市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","合計","合計(%)"
"男子／7年","325","70.0","221","66.2","216","60.2","198","64.1","311","68.8","231","62.3","266","63.9","1768","65.4"
"男子／8年","304","70.7","221","68.2","239","66.8","212","67.3","307","71.9","251","69.9","309","74.3","1843","70.1"
"男子／9年","274","68.8","200","62.3","222","65.3","178","66.7","272","67.7","224","67.1","289","68.3","1659","66.8"
"男子／10年","269","67.9","230","69.7","206","62.0","155","66.0","260","70.3","212","67.1","283","66.6","1615","67.2"
"男子／11年","255","64.1","242","71.8","193","62.5","134","59.3","229","69.2","201","67.4","271","68.8","1525","66.5"
"男子／計","1427","","1114","","1076","","877","","1379","","1119","","1418","","8410",""
"女子／7年","307","69.9","200","62.1","217","61.8","195","63.9","305","68.1","201","63.0","257","63.8","1682","65.0"
"女子／8年","312","72.6","212","66.7","208","63.8","199","65.0","311","71.7","207","67.9","274","71.2","1723","68.8"
"女子／9年","283","68.2","218","69.0","202","67.3","196","69.0","283","70.8","216","71.5","252","69.8","1650","69.4"
"女子／10年","269","68.4","218","69.2","206","67.8","189","67.7","256","69.6","214","72.8","226","67.9","1578","69.0"
"女子／11年","231","61.27","195","65.22","193","64.33","172","65.15","216","62.79","192","68.09","240","68.6","1439","69.0"
"女子／計","1402","","1043","","1026","","951","","1371","","1030","","1249","","8072",""
"計／7年","632","70.0","421","64.2","433","61.0","393","64.0","616","68.4","432","62.6","523","63.9","3450","65.2"
"計／8年","616","71.6","433","67.4","447","65.4","411","66.2","618","71.8","458","69.0","583","72.8","3566","69.5"
"計／9年","557","68.5","418","65.6","424","66.3","374","67.9","555","69.2","440","69.2","541","69.0","3309","68.0"
"計／10年","538","68.2","448","69.5","412","64.8","344","66.9","516","69.9","426","69.8","509","67.2","3193","68.1"
"計／11年","486","62.7","437","68.7","386","63.4","306","62.4","445","65.9","393","67.8","511","68.7","2964","65.7"
"計／計","2829","","2157","","2102","","1828","","2750","","2149","","2667","","16482",""
