"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","サンプル数","平均"
"TOTAL","5.8","12.9","11.8","19.9","15.4","15.3","18.7","4718","-0.5"
"正規職員","4.6","9.8","9.6","18.8","15.8","17.1","24.5","2691","-0.8"
"有期契約職員フルタイム","3.8","11.0","13.7","20.9","17.3","17.5","15.8","526","-0.5"
"有期契約職員パートタイム","8.7","19.5","15.4","21.9","14.1","11.2","9.0","1459","0.2"
