"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","56","3","1","8","6","16","22","81","4","2","24","13","22","16"
"血清総コレステロール値(mg/dl)","199.7","170.3","210.0","207.5","199.0","200.3","200.3","218.5","190.5","166.5","213.9","229.5","227.5","217.6"
