"","自分あるいは配偶者(%)","自分・配偶者以外(%)","無回答(%)"
"3歳未満計","78.1","20.8","1.1"
"2歳","71.4","27.7","1.0"
"1歳","75.9","23.3","0.7"
"1歳未満","88.8","9.6","1.6"
