"","コンサートや映画、スポーツなどの鑑賞、見物","スポーツやレジャーなどの活動","学習活動","趣味のサークル","ボランティア活動やNPO活動","障害者団体などの活動","参加できる活動場所がない","活動をしたいと思うことができない","活動したいと思わない","その他","無回答"
"25年度（810人）(%)","36.9","33.1","10.4","14.7","5.1","20.2","4.1","13.8","13","8.8","4"
"20年度（805人）(%)","40","31.2","6.7","15.9","4.2","17.6","4","13","12","10.3","5.7"
