"","昭和50年(%)","昭和55年(%)","昭和60年(%)","平成2年(%)","平成7年(%)","平成12年(%)"
"東京都 25～29歳","61.1","66.2","70.4","74.0","75.8","79.4"
"東京都 30～34歳","25.7","34.4","40.1","43.7","48.3","54.2"
"全国 25～29歳","48.3","55.1","60.4","64.4","66.9","69.3"
"全国 30～34歳","14.3","21.5","28.1","32.6","37.3","42.9"
