"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"小学5年生","28.3","22.1","13.4","33.9","2.4"
"中学2年生","23.8","20.9","12.4","41.2","1.7"
"16-17歳","27.9","19.1","13.6","36.8","2.6"
