"年度","身体(人)","知的(人)","精神(人)","その他(人)","合計(人)",
"24","8386","3375","6803","533","19097",
"25","7736","3229","7317","602","18884",
"26","7232","3256","8168","606","19262",
"27","6714","3300","8921","809","19744",
"28","6288","3324","9634","809","20055",
