"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"はい","16","5.3","8","2.5"
"いいえ","282","93.4","299","95.0"
"無記入","4","1.3","8","2.5"
"合計","302","100.0","315","100.0"
