"","転職したい理由（総数154）(%)"
"収入がよくない","68.8"
"勤め先が遠い","13.6"
"健康がすぐれない","14.3"
"仕事の内容がよくない","20.1"
"職場環境が合わない","16.2"
"労働時間が合わない","33.8"
"将来が不安","69.5"
"職場内での偏見","6.5"
"その他","7.8"
