"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","262.5","77.5","56.4","143.8","163.6","215.1","260.7","313.6","354.7","386","444.3"
"1～2歳","4","130.7","54.5","94.4","95.5","96.9","101.1","108.6","138.2","182.2","196.9","208.6"
"3～5歳","5","164.5","35","114.8","119.8","126","144.7","176.8","188.6","194.6","196.7","198.3"
"6～7歳","6","218","23.5","197.2","198","199","203.3","211.9","222","243.2","252.5","259.9"
"8～9歳","3","246.8","7.8","239.2","239.8","240.6","242.9","246.8","250.7","253.1","253.9","254.5"
"10～11歳","5","297.6","46","229.7","240.7","254.5","295.9","298.2","312.2","337.7","346.2","353"
"12～14歳","8","304.7","85.9","171.3","187","206.7","244.2","326.2","348","385.8","411.3","431.7"
"15～17歳","6","328.5","91.4","197.7","210.4","226.2","272.2","346.3","380.3","413","428.8","441.4"
"18～29歳","20","283.3","75.2","152.9","176.1","198.5","224.7","284.7","323.6","364.5","370.6","437"
"30～49歳","42","250.2","72","51.4","148.8","165.3","221.8","255","298.1","330.8","346.3","392.6"
"50～69歳","60","268.8","68.7","125.2","158.7","188.5","224","263.3","306.7","349.9","391.5","424.4"
"70歳以上","46","265.8","83.5","73.5","141.7","156.4","228.4","276.1","314.2","347.2","381.2","460.8"
"女性総数","228","225.9","65.6","67.2","122.7","144.4","188","225.1","273","298","326.8","397.2"
"1～2歳","3","148.9","16.2","134.2","135.3","136.5","140.3","146.7","156.4","162.3","164.2","165.8"
"3～5歳","2","256.9","52","220.9","223.8","227.5","238.5","256.9","275.2","286.3","289.9","292.9"
"6～7歳","6","193","52.5","145.7","150.2","155.9","169.9","177.4","192","245.6","270","289.5"
"8～9歳","4","204.9","19.8","178","181.2","185.3","197.4","210.8","218.3","219.9","220.4","220.8"
"10～11歳","1","214.7","0","214.7","214.7","214.7","214.7","214.7","214.7","214.7","214.7","214.7"
"12～14歳","8","249.3","46.9","189","195.2","203","211.6","245.2","278.3","305.5","315.3","323.2"
"15～17歳","7","273.6","84.9","180.4","190.7","203.5","222.1","240.9","311.9","370.6","399.5","422.7"
"18～29歳","17","210.4","59","127.8","128.8","129.4","158.3","198.9","262.7","279.9","284.2","294.6"
"30～49歳","60","228","60.1","83","133.5","147.4","195.8","233.9","269.5","298.9","318.3","335.6"
"50～69歳","71","232.9","67.7","70.2","121.9","159.1","199.7","230.3","276","301.2","328.6","422.4"
"70歳以上","49","217.2","72.4","51","112.1","123.4","174.5","212.5","272.3","290.5","324.1","379.4"
"(再掲)妊婦","1","261.9","0","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9","261.9"
"授乳婦","1","262.3","0","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3","262.3"
