"","現在困っていること(%)","当時困ったこと(%)"
"子どもの教育・進路・就職","34.6","33.3"
"家事","34.6","48.7"
"住居","10.3","11.5"
"仕事","26.9","30.8"
"家計","20.5","17.9"
