"上段：度数／下段：%","n=","１年以下","２年","３年","４年以上９年以下","１０年以上１９年以下","２０年以上","無回答","平均値"
"ＴＯＴＡＬ","2871","987","490","297","412","342","266","77","5.9"
"ＴＯＴＡＬ","100","34.4","17.1","10.3","14.4","11.9","9.3","2.7",""
"性別・年代／女性計","2641","903","451","278","388","318","236","67","5.9"
"性別・年代／女性計","100","34.2","17.1","10.5","14.7","12.0","8.9","2.5",""
"性別・年代／女性２０代","634","359","138","74","44","0","0","19","1.7"
"性別・年代／女性２０代","100","56.6","21.8","11.7","6.9","0.0","0.0","3.0",""
"性別・年代／女性３０代","961","285","173","134","243","110","0","16","3.9"
"性別・年代／女性３０代","100","29.7","18.0","13.9","25.3","11.4","0.0","1.7",""
"性別・年代／女性４０代","590","155","85","45","63","156","73","13","8.1"
"性別・年代／女性４０代","100","26.3","14.4","7.6","10.7","26.4","12.4","2.2",""
"性別・年代／女性５０代以上","425","94","48","24","35","48","158","18","13.5"
"性別・年代／女性５０代以上","100","22.1","11.3","5.6","8.2","11.3","37.2","4.2",""
"性別・年代／男性計","86","39","18","12","8","4","3","2","3.3"
"性別・年代／男性計","100","45.3","20.9","14.0","9.3","4.7","3.5","2.3",""
"性別・年代／男性２０代","51","28","11","7","4","0","0","1","1.8"
"性別・年代／男性２０代","100","54.9","21.6","13.7","7.8","0.0","0.0","2.0",""
"性別・年代／男性３０代以上","35","11","7","5","4","4","3","1","5.5"
"性別・年代／男性３０代以上","100","31.4","20.0","14.3","11.4","11.4","8.6","2.9",""
"性別・年代／無回答","144","45","21","7","16","20","27","8","8.8"
"性別・年代／無回答","100","31.3","14.6","4.9","11.1","13.9","18.8","5.6",""
