"","20～24歳(千円)","25～29歳(千円)","30～34歳(千円)","35～39歳(千円)","40～44歳(千円)","45～49歳(千円)","50～54歳(千円)","55～59歳(千円)","60～64歳(千円)","65～69歳(千円)"
"男性(正社員・正職員)","205.0","242.4","281.9","321.5","365.5","409.5","431.8","412.4","318.0","313.4"
"男性(正社員・正職員以外)","172.3","196.1","213.0","222.4","226.3","224.3","229.0","225.4","234.5","207.1"
"女性(正社員・正職員)","196.2","223.0","243.2","262.8","272.3","286.7","285.2","279.4","248.3","248.0"
"女性(正社員・正職員以外)","164.9","179.2","183.4","181.2","177.7","174.7","173.5","165.5","167.9","159.9"
