"","よくあった(％)","時々あった(％)","まれにあった(％)","まったくなかった(％)","欠損(％)"
"小学5年生","0.9","2.8","6.0","89.5","0.8"
"中学２年生","1.0","2.7","7.5","87.9","0.8"
"16-17歳","0.6","2.5","6.7","89.2","1.2"
