"年度","保護件数全体(件)","合計(件)","合計(%)","単身者(件)","母子等(件)"
"13","685","336","49.1","175","161"
"14","830","489","58.9","212","277"
"15","916","614","67.0","276","338"
"16","880","609","69.2","283","326"
"17","856","608","71.0","286","322"
"18","877","643","73.3","258","385"
"19","832","542","65.1","205","337"
"20","901","576","63.9","259","317"
