"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"したほうがよい","255","84.5","237","75.3"
"しなくてもよい","40","13.2","71","22.5"
"無記入","7","2.3","7","2.2"
"合計","302","100.0","315","100.0"
