"","よくあった(％)","時々あった(％)","まれにあった(％)","まったくなかった(％)","欠損(％)"
"小学5年生","1.5","3.2","8.8","85.9","0.7"
"中学２年生","1.8","3.1","9.5","84.5","1.1"
"16-17歳","1.6","2.9","10.5","83.8","1.3"
