"","よい(％)","まあよい(％)","ふつう(％)","あまりよくない(％)","よくない(％)","無回答(％)"
"困窮層","30.1","26.1","31.3","6.6","4.4","1.4"
"周辺層","38.6","28.0","24.0","7.0","1.1","1.3"
"一般層","43.4","25.5","22.7","6.1","1.4","0.9"
