"","1歳未満(%)","1～3歳未満(%)","3～6歳未満(%)","6～9歳未満(%)","9～12歳未満(%)","12～16歳未満(%)","16歳以上(%)","無回答"
"14年度調査","13.4","16.9","23.3","13.7","11.1","7.6","2.4","11.6"
"19年度調査","19.4","19.3","25.2","15.7","9.1","5.4","1.7","4.2"
"24年度調査","17.3","21.3","21.0","14.0","10.4","9.0","1.8","5.1"
