"","5日未満(%)","5日～2週間未満(%)","2週間～1か月未満(%)","1か月～3か月未満(%)","3か月～6か月未満(%)","6か月～1年未満(%)","1年(%)","1年を超え1年6か月未満(%)","1年6か月～３年未満(%)","3年～(%)","無回答(%)"
"男性(n=49)","24.5","8.2","6.1","20.4","8.2","6.1","6.1","2.0","0","0","18.4"
"女性(n=372)","0.3","0.5","0.3","1.1","1.1","32.3","25.3","31.2","5.6","0","2.4"
