"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","2304","844","649","1120","1325","1746","2200","2847","3438","3749","4534"
"1～2歳","4","1578","820","512","630","778","1221","1724","2081","2261","2321","2369"
"3～5歳","5","1343","256","1036","1055","1078","1147","1354","1549","1600","1617","1631"
"6～7歳","6","2079","536","1471","1489","1511","1678","2114","2261","2612","2774","2904"
"8～9歳","3","2181","462","1689","1738","1798","1979","2280","2433","2525","2555","2580"
"10～11歳","5","2413","553","1760","1817","1889","2102","2390","2614","2973","3093","3188"
"12～14歳","8","2378","1044","821","1026","1282","1752","2331","2960","3637","3810","3949"
"15～17歳","6","2456","498","1983","2010","2044","2118","2261","2784","3064","3137","3196"
"18～29歳","20","2320","649","1272","1458","1594","1756","2330","2849","3054","3305","3465"
"30～49歳","42","2122","820","746","950","1176","1549","2103","2588","3193","3347","4217"
"50～69歳","60","2497","931","1017","1343","1482","1803","2205","3016","4001","4345","4588"
"70歳以上","46","2372","857","338","1193","1324","1800","2384","2954","3608","3717","3958"
"女性総数","228","2233","903","673","956","1187","1585","2145","2791","3404","3705","4834"
"1～2歳","3","1680","321","1329","1366","1412","1551","1782","1859","1906","1921","1933"
"3～5歳","2","1866","445","1557","1582","1614","1708","1866","2023","2117","2149","2174"
"6～7歳","6","1605","484","1058","1105","1162","1329","1572","1691","2079","2269","2420"
"8～9歳","4","1994","559","1211","1323","1463","1883","2167","2278","2386","2422","2451"
"10～11歳","1","2036","0","2036","2036","2036","2036","2036","2036","2036","2036","2036"
"12～14歳","8","2202","631","1580","1582","1584","1716","1957","2753","2963","3083","3179"
"15～17歳","7","1991","587","1167","1253","1362","1564","2077","2403","2584","2683","2763"
"18～29歳","17","2117","915","864","1156","1258","1398","1945","2408","3317","3707","4252"
"30～49歳","60","2075","735","925","1066","1273","1534","1987","2442","2977","3524","4076"
"50～69歳","71","2485","1022","657","907","1236","1721","2434","3062","3592","4213","5123"
"70歳以上","49","2288","1007","403","867","1030","1614","2224","2887","3454","3682","4940"
"(再掲)妊婦","1","2780","0","2780","2780","2780","2780","2780","2780","2780","2780","2780"
"授乳婦","1","2074","0","2074","2074","2074","2074","2074","2074","2074","2074","2074"
