"","２日以下(%)","３日(%)","４日(%)","５日(%)","６日以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","3.4","5.9","8.2","58.8","21.4","","8214","4.9"
"正規職員","","","","65.7","31.2","","4702","5.3"
"有期契約職員フルタイム","","","9.3","73.1","14.1","","886","5.0"
"有期契約職員パートタイム","10.4","18.7","22.0","41.3","5.7","","2536","4.1"
