"","平成18年度","平成19年度","平成20年度","平成21年度","平成22年度"
"事務所数(箇所)","367","370","409","444","480"
"（うちB型）(箇所)","9","92","182","275","345"
"工賃実績(円/月)","14488","14704","14117","13950","14285"
"（うちB型）(円/月)","20432","16172","14172","13762","13947"
"工賃実績（全国）(円/月)","12222","12600","12587","12695","13079"
