"","施設総数","１ある／施設数","１ある／割合","２ない／施設数","２ない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","131","8.2","1444","90.9","13","0.8"
"認証保育所＊","527","22","4.2","498","94.5","7","1.3"
"認定こども園＊","95","4","4.2","91","95.8","",""
"幼稚園＊","666","14","2.1","645","96.8","7","1.1"
"ベビーホテル","331","6","1.8","324","97.9","1","0.3"
"家庭的保育","596","11","1.8","579","97.1","6","1.0"
"学童保育","1169","20","1.7","1143","97.8","6","0.5"
"上記以外の施設","376","3","0.8","366","97.3","7","1.9"
"総数","5348","211","3.9","5090","95.2","47","0.9"
"＊前回調査施設 (再掲）","2876","171","5.9","2678","93.1","27","0.9"
