"順位","制限または除去食物","平成21年度(％)"
"1","卵","62.4"
"5","落花生","11.9"
"2","牛乳","26.8"
"6","そば","11.2"
"","カシューナッツ","調査未実施"
"3","いくら","15.3"
"10","くるみ","6.1"
"14","キウイ","3.7"
"7","えび","9.5"
"4","小麦","12.2"
"8","かに","7.5"
"11","やまいも","5.4"
"14","ごま","3.7"
"9","大豆","6.4"
"12","さば","4.7"
"17","あわび","2.4"
"19","牛肉","2.0"
"20","さけ","1.7"
"21","バナナ","1.4"
"16","いか","3.4"
"21","オレンジ","1.4"
"12","鶏肉","4.7"
"24","豚肉","0.7"
"27","もも","0.3"
"24","グミ・ゼラチン","0.7"
"24","まつたけ","0.7"
"21","りんご","1.4"
"17","米","2.4"
"","その他","12.5"
