"","専門（専修）学校の保育士養成課程(%)","短期大学の保育士養成課程(%)","大学の保育士養成課程(%)","その他養成施設の保育士養成課程(%)","通信教育等で学んだ後、保育士試験(%)","無回答(%)","サンプル数"
"TOTAL","23.3","33.8","16.0","","24.9","","15369"
"女性計","22.6","34.8","15.5","","25.2","","14059"
"女性２０代","20.7","34.8","32.5","","11.3","","5708"
"女性３０代","25.7","31.1","5.5","","35.7","","3634"
"女性４０代","21.7","36.2","","","36.7","","2861"
"女性５０代以上","23.7","40.0","","","30.2","","1751"
"男性計","33.8","11.4","29.5","","23.5","","701"
"男性２０代","37.4","12.9","41.6","","6.6","","473"
"男性３０代以上","26.1","8.4","4.0","","59.3","","226"
