"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"吸っていない","293","97.0","301","95.6"
"家","2","0.7","","0.0"
"学校","","0","1","0.3"
"公園","2","0.7","","0.0"
"その他","1","0.3","1","0.3"
"無記入","4","1.3","12","3.8"
"合計","302","100.0","315","100.0"
