"","内容／件数","清掃状況／○","清掃状況／○(%)","清掃状況／△","清掃状況／△(%)","清掃状況／×","清掃状況／×(%)","清掃記録／有り","清掃記録／有り(%)","清掃記録／無し","清掃記録／無し(%)","店舗の消毒頻度／1日1回以上","店舗の消毒頻度／1日1回以上(%)","店舗の消毒頻度／1週間に1回以上","店舗の消毒頻度／1週間に1回以上"(%)","店舗の消毒頻度／月に1回以上","店舗の消毒頻度／月に1回以上(%)","店舗の消毒頻度／半年に1回以上","店舗の消毒頻度／半年に1回以上(%)","店舗の消毒頻度／年に1回以上","店舗の消毒頻度／年に1回以上(%)","店舗の消毒頻度／随時","店舗の消毒頻度／随時(%)","店舗の消毒頻度／消毒しない","店舗の消毒頻度／消毒しない(%)","廃棄物の処理方法／一般","廃棄物の処理方法／一般(%)","廃棄物の処理方法／業者","廃棄物の処理方法／業者(%)","専用作業衣・靴／有り","専用作業衣・靴／有り(%)","専用作業衣・靴／無し","専用作業衣・靴／無し(%)"
"全体（％）","340","167","49","147","43","16","5","13","4","327","96","176","52","18","5","27","8","3","1","1","0","46","14","69","20","256","75","69","20","149","44","191","56"
"売買（％）","238","107","45","113","47","13","5","7","3","231","97","112","47","13","5","20","8","2","1","1","0","32","13","58","24","175","74","54","23","90","38","148","62"
"貸出（％）","5","3","60","2","40","0","0","1","20","4","80","4","80","0","0","0","0","0","0","0","0","1","20","0","0","2","40","3","60","5","100","0","0"
"保管（％）","135","72","53","53","39","6","4","6","4","129","96","88","65","4","3","10","7","0","0","1","1","16","12","16","12","95","70","36","27","75","56","60","44"
"訓練（％）","17","10","59","6","35","1","12","2","12","15","88","8","47","0","0","2","12","0","0","0","0","6","35","1","6","10","59","5","29","11","65","6","35"
"輸出入（％）","6","1","17","5","83","0","17","1","17","5","83","2","33","0","0","1","17","0","0","0","0","2","33","1","17","3","50","1","17","2","33","4","67"
"美容（％）","208","112","54","80","38","8","4","9","4","199","96","127","61","11","5","20","10","2","1","1","0","24","12","23","11","154","74","49","24","109","52","99","48"
