"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"19","1.8","24.0","39.3","34.4","0.5"
"14","2.1","23.3","41.2","32.8","0.6"
"9","0.9","16.8","33.4","48.9","0.1"
