"","ひとり親世帯(585世帯)(%)","両親世帯(6576世帯)(%)"
"配偶者","0.5","92.9"
"自分や配偶者の親","51.3","66.2"
"配偶者以外の家族や親族","32.8","22"
"保育所や幼稚園等の先生","27.5","23.9"
"塾や習い事の先生","7.7","5.8"
"友人","71.1","53.3"
"子どもの学校や幼稚園、保育所などを通じて親しくなった友人","38.3","29.6"
"職場の人","37.9","28.9"
"隣近所の人","8.9","8.7"
"病院の医師､看護師","9.4","10"
"保健所･保健センターの保健師","2.6","3.3"
"公的機関の相談員","7.2","2.9"
"民間の相談窓口の相談員","1.7","0.4"
"インターネット(掲示板等)","3.2","6.4"
"その他","3.9","0.5"
