"局名","部名","職名"
"政策企画局","調整部","政策担当課長"
"青少年・治安対策本部","総合対策部","企画調整担当課長"
"総務局","人事部","職員支援課長"
"主税局","税制部","税制調査課長"
"生活文化局","総務部","企画担当課長"
"生活文化局","都民生活部","男女平等参画課長"
"生活文化局","私学部","私学振興課長"
"生活文化局","私学部","企画担当課長"
"生活文化局","私学部","私学行政課長"
"生活文化局","私学部","調整担当課長"
"オリンピック・パラリンピック準備局","総務部","企画担当課長"
"都市整備局","総務部","企画担当課長"
"都市整備局","住宅政策推進部","計画調整担当課長"
"福祉保健局","総務部","総合調整担当課長"
"福祉保健局","総務部","企画担当課長"
"福祉保健局","医療政策部","医療政策課長"
"福祉保健局","保健政策部","保健政策課長"
"福祉保健局","生活福祉部","計画課長"
"福祉保健局","少子社会対策部","計画課長"
"福祉保健局","少子社会対策部","次世代育成支援担当課長"
"福祉保健局","少子社会対策部","育成支援課長"
"福祉保健局","少子社会対策部","保育支援課長"
"福祉保健局","少子社会対策部","家庭支援課長"
"福祉保健局","少子社会対策部","事業推進担当課長"
"福祉保健局","障害者施策推進部","計画課長"
"病院経営本部","経営企画部","経営戦略担当課長"
"産業労働局","総務部","企画担当課長"
"産業労働局","商工部","地域産業振興課長"
"産業労働局","雇用就業部","労働環境課長"
"建設局","総務部","計画担当課長"
"交通局","総務部","企画調整課長"
"教育庁","総務部","教育政策課長"
"教育庁","総務部","企画担当課長"
"教育庁","都立学校教育部","高等学校教育課長"
"教育庁","地域教育支援部","義務教育課長"
"教育庁","地域教育支援部","生涯学習課長"
"教育庁","指導部","指導企画課長"
"教育庁","指導部","義務教育特別支援教育指導課長"
"警視庁","交通部","管理官（交通総務課課長代理）"
"警視庁","生活安全部","管理官(生活安全総務課課長代理)"
"警視庁","生活安全部","管理官（少年育成課課長代理）"
