"保険者番号","保険者別","受診率／入院","受診率／入院外","受診率／歯科","受診率／計","1件当たり日数／入院(日)","1件当たり日数／入院外(日)","1件当たり日数／歯科(日)","1件当たり日数／計(日)","1日当たり費用額／入院(円)","1日当たり費用額／入院外(円)","1日当たり費用額／歯科(円)","1日当たり費用額／計(円)","1人当たり費用額／入院(円)","1人当たり費用額／入院外(円)","1人当たり費用額／歯科(円)","1人当たり費用額／計(円)"
"","平成25年度総計","15.285","1021.744","129.960","1166.988","7.40","1.62","1.48","1.68","61238","5321","6460","8655","69282","88212","12397","169890"
"","平成26年度総計","15.169","1009.244","132.650","1157.063","7.09","1.61","1.45","1.66","63217","5441","6627","8792","68022","88327","12761","169110"
"","平成27年度総計","15.585","1021.454","135.775","1172.813","7.15","1.60","1.43","1.65","63201","5484","6739","8926","70379","89546","13046","172971"
"","公営計","15.063","987.240","129.285","1131.589","7.64","1.59","1.44","1.65","64090","5502","6911","9245","73709","86301","12903","172914"
"","特別区計","14.995","1008.755","135.946","1159.696","7.72","1.61","1.44","1.67","64117","5469","6946","9119","74197","89009","13575","176782"
"","市町村計","15.217","938.401","114.164","1067.782","7.45","1.53","1.46","1.61","64026","5586","6821","9569","72603","80154","11378","164135"
"","多摩計","15.244","942.487","113.814","1071.546","7.46","1.53","1.46","1.61","64071","5584","6842","9572","72905","80469","11397","164772"
"","島しょ計","13.221","637.500","139.904","790.625","6.40","1.55","1.32","1.59","59510","5776","5398","9346","50354","56932","9940","117226"
"","組合計","16.189","1061.068","143.289","1220.546","6.62","1.61","1.41","1.65","62097","5464","6553","8582","66522","93304","13210","173036"
"1","千代田区","21.326","991.643","107.205","1120.173","6.84","1.51","1.30","1.59","55066","6588","6674","10569","80297","98409","9309","188015"
"2","中央区","13.595","1011.760","147.706","1173.061","8.99","1.53","1.31","1.59","63575","5786","7125","9719","77679","89435","13775","180889"
"3","港区","15.819","832.574","117.243","965.636","7.41","1.50","1.31","1.57","57992","5968","7052","10087","67968","74565","10857","153390"
"4","新宿区","16.817","976.127","123.481","1116.425","7.62","1.57","1.43","1.65","67655","5397","7146","9907","86697","82732","12575","182003"
"5","文京区","17.426","940.304","135.121","1092.851","9.28","1.55","1.32","1.64","57524","5797","7062","10579","93045","84433","12622","190101"
